content,category
My camera won't download. Can you help?,technical_support
What's the difference between camera and tablet?,product_information
I want to return my laptop and get a refund.,refund_request
I'm having trouble turn on with my smartwatch.,technical_support
My tablet won't install. Can you help?,technical_support
Can I get my money back for headphones? It doesn't work properly.,refund_request
Can I get my money back for phone? It doesn't work properly.,refund_request
Can I update my payment method?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
Can I update my shipping address?,account_inquiry
The headphones arrived damaged. I need a refund please.,refund_request
When does my plan renew?,account_inquiry
My tablet won't sync. Can you help?,technical_support
The laptop arrived damaged. I need a refund please.,refund_request
I'm very disappointed with customer support.,complaint
What's the difference between phone and phone?,product_information
I'm very disappointed with product quality.,complaint
How do I change my account?,account_inquiry
Can I update my payment method?,account_inquiry
Your product quality is the worst I've experienced.,complaint
How do I delete my account?,account_inquiry
Your customer support is the worst I've experienced.,complaint
What's the difference between printer and phone?,product_information
What's the difference between laptop and phone?,product_information
I'm very disappointed with delivery time.,complaint
What's the difference between smartwatch and camera?,product_information
The battery life feature isn't working on my phone.,technical_support
How do I install on my laptop?,technical_support
How do I check my account status?,account_inquiry
The warranty feature isn't working on my smartwatch.,technical_support
How do I update on my smartwatch?,technical_support
What are the battery life of the printer?,product_information
Can I update my shipping address?,account_inquiry
I'm very disappointed with product quality.,complaint
I want to return my smartwatch and get a refund.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
I'm filing a complaint about customer support.,complaint
I keep getting an error when trying to turn on.,technical_support
How do I request a refund for order #91256?,refund_request
This is unacceptable. The service is terrible.,complaint
I've been waiting 2 weeks for replacement and still nothing!,complaint
I've been waiting 2 weeks for refund and still nothing!,complaint
My phone won't install. Can you help?,technical_support
I'm very disappointed with customer support.,complaint
I'm having trouble charge with my headphones.,technical_support
The tablet arrived damaged. I need a refund please.,refund_request
The warranty feature isn't working on my tablet.,technical_support
When does my service renew?,account_inquiry
Your service is the worst I've experienced.,complaint
I'm filing a complaint about product quality.,complaint
This is unacceptable. The service is terrible.,complaint
I keep getting an error when trying to connect.,technical_support
I'm very disappointed with packaging.,complaint
I want to return my phone and get a refund.,refund_request
Can I update my shipping address?,account_inquiry
Can I update my payment method?,account_inquiry
I'm having trouble install with my headphones.,technical_support
I'm very disappointed with product quality.,complaint
How do I request a refund for order #20076?,refund_request
How do I request a refund for order #81456?,refund_request
How do I connect on my phone?,technical_support
Your delivery time is the worst I've experienced.,complaint
Does the headphones come with cables?,product_information
Can you tell me more about the specifications feature?,product_information
Does the printer come with case?,product_information
I've been waiting 2 weeks for response and still nothing!,complaint
How do I request a refund for order #38544?,refund_request
Your customer support is the worst I've experienced.,complaint
How do I request a refund for order #42927?,refund_request
What are the camera quality of the phone?,product_information
I want to return my smartwatch and get a refund.,refund_request
What's the difference between laptop and phone?,product_information
How do I check my account status?,account_inquiry
I'm very disappointed with delivery time.,complaint
What are the camera quality of the tablet?,product_information
I keep getting an error when trying to connect.,technical_support
Does the headphones come with charger?,product_information
How do I sync on my tablet?,technical_support
This is unacceptable. The product quality is terrible.,complaint
Can I get my money back for printer? It doesn't work properly.,refund_request
This is unacceptable. The service is terrible.,complaint
Is the camera compatible with printer?,product_information
What's the difference between tablet and laptop?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
How do I request a refund for order #57197?,refund_request
I keep getting an error when trying to sync.,technical_support
I want to return my laptop and get a refund.,refund_request
Is the smartwatch compatible with camera?,product_information
How do I check my account history?,account_inquiry
Your service is the worst I've experienced.,complaint
I want to return my phone and get a refund.,refund_request
How do I update on my printer?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
This is unacceptable. The packaging is terrible.,complaint
When does my membership renew?,account_inquiry
How do I connect on my camera?,technical_support
Can I get my money back for headphones? It doesn't work properly.,refund_request
Does the phone come with cables?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
The warranty feature isn't working on my camera.,technical_support
How do I request a refund for order #12615?,refund_request
I'm having trouble turn on with my camera.,technical_support
I'm having trouble charge with my laptop.,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
What are the camera quality of the tablet?,product_information
I'm having trouble sync with my phone.,technical_support
My camera won't connect. Can you help?,technical_support
I want to return my laptop and get a refund.,refund_request
I'm very disappointed with product quality.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
Your customer support is the worst I've experienced.,complaint
The laptop arrived damaged. I need a refund please.,refund_request
Can I get my money back for camera? It doesn't work properly.,refund_request
What's the difference between camera and camera?,product_information
How do I turn on on my phone?,technical_support
I'm filing a complaint about product quality.,complaint
This is unacceptable. The customer support is terrible.,complaint
When does my plan renew?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
I'm having trouble sync with my printer.,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
When does my subscription renew?,account_inquiry
The price feature isn't working on my smartwatch.,technical_support
Does the smartwatch come with manual?,product_information
Does the tablet come with cables?,product_information
I'm very disappointed with customer support.,complaint
I forgot my password. Can you help me reset it?,account_inquiry
Is the tablet compatible with printer?,product_information
Your service is the worst I've experienced.,complaint
How do I request a refund for order #36292?,refund_request
When does my subscription renew?,account_inquiry
Is the laptop compatible with headphones?,product_information
What's the difference between headphones and smartwatch?,product_information
How do I request a refund for order #40497?,refund_request
The battery life feature isn't working on my laptop.,technical_support
How do I delete my account?,account_inquiry
How do I check my account status?,account_inquiry
How do I turn on on my smartwatch?,technical_support
I keep getting an error when trying to connect.,technical_support
I want to return my phone and get a refund.,refund_request
What's the difference between headphones and smartwatch?,product_information
How do I turn on on my laptop?,technical_support
I want to return my headphones and get a refund.,refund_request
What's the difference between smartwatch and phone?,product_information
Can I get my money back for headphones? It doesn't work properly.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
Can I update my preferences?,account_inquiry
I'm very disappointed with product quality.,complaint
Is the phone compatible with phone?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
This is unacceptable. The product quality is terrible.,complaint
I want to return my phone and get a refund.,refund_request
How do I download on my headphones?,technical_support
What's the difference between headphones and smartwatch?,product_information
I'm filing a complaint about service.,complaint
This is unacceptable. The service is terrible.,complaint
Does the laptop come with case?,product_information
Is the tablet compatible with phone?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
I keep getting an error when trying to sync.,technical_support
Can I get my money back for phone? It doesn't work properly.,refund_request
This is unacceptable. The packaging is terrible.,complaint
When does my membership renew?,account_inquiry
Can I update my email address?,account_inquiry
My headphones won't connect. Can you help?,technical_support
How do I verify my account?,account_inquiry
Can you tell me more about the dimensions feature?,product_information
Is the tablet compatible with printer?,product_information
How do I access my account?,account_inquiry
How do I request a refund for order #37659?,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
I'm filing a complaint about service.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
I'm very disappointed with packaging.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
What are the specifications of the phone?,product_information
How do I request a refund for order #72019?,refund_request
How do I update my account?,account_inquiry
Is the laptop compatible with camera?,product_information
Can I update my preferences?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
Can I update my payment method?,account_inquiry
What's the difference between headphones and laptop?,product_information
Does the tablet come with case?,product_information
This is unacceptable. The product quality is terrible.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
This is unacceptable. The packaging is terrible.,complaint
What are the dimensions of the phone?,product_information
The phone arrived damaged. I need a refund please.,refund_request
My printer won't connect. Can you help?,technical_support
The laptop arrived damaged. I need a refund please.,refund_request
I'm filing a complaint about product quality.,complaint
What's the difference between camera and camera?,product_information
How do I update on my headphones?,technical_support
The printer arrived damaged. I need a refund please.,refund_request
I want to return my headphones and get a refund.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
How do I turn on on my camera?,technical_support
How do I update on my tablet?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
Your customer support is the worst I've experienced.,complaint
How do I delete my account?,account_inquiry
Does the printer come with charger?,product_information
What's the difference between headphones and laptop?,product_information
I want to return my camera and get a refund.,refund_request
How do I check my account balance?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
How do I request a refund for order #89640?,refund_request
Can I update my shipping address?,account_inquiry
Does the phone come with cables?,product_information
How do I sync on my smartwatch?,technical_support
Can I get my money back for headphones? It doesn't work properly.,refund_request
This is unacceptable. The customer support is terrible.,complaint
Your service is the worst I've experienced.,complaint
Can I update my shipping address?,account_inquiry
The dimensions feature isn't working on my tablet.,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
Is the laptop compatible with printer?,product_information
When does my service renew?,account_inquiry
How do I access my account?,account_inquiry
My camera won't charge. Can you help?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
Can you tell me more about the warranty feature?,product_information
My tablet won't sync. Can you help?,technical_support
What are the dimensions of the printer?,product_information
I want to return my smartwatch and get a refund.,refund_request
How do I verify my account?,account_inquiry
When does my service renew?,account_inquiry
Your product quality is the worst I've experienced.,complaint
I want to return my tablet and get a refund.,refund_request
The printer arrived damaged. I need a refund please.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
When does my membership renew?,account_inquiry
Can I update my preferences?,account_inquiry
What's the difference between smartwatch and camera?,product_information
Can you tell me more about the price feature?,product_information
How do I sync on my printer?,technical_support
This is unacceptable. The packaging is terrible.,complaint
I'm having trouble connect with my printer.,technical_support
How do I update my account?,account_inquiry
I've been waiting too long for order and still nothing!,complaint
Is the laptop compatible with laptop?,product_information
I'm having trouble download with my tablet.,technical_support
Can I get my money back for tablet? It doesn't work properly.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
The camera arrived damaged. I need a refund please.,refund_request
I'm filing a complaint about customer support.,complaint
I'm very disappointed with delivery time.,complaint
When does my membership renew?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
Your packaging is the worst I've experienced.,complaint
I want to return my headphones and get a refund.,refund_request
Can you tell me more about the camera quality feature?,product_information
Is the headphones compatible with smartwatch?,product_information
What are the specifications of the laptop?,product_information
My headphones won't download. Can you help?,technical_support
I've been waiting too long for order and still nothing!,complaint
Can I update my payment method?,account_inquiry
The battery life feature isn't working on my tablet.,technical_support
Does the headphones come with warranty?,product_information
How do I check my account status?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
Can I update my shipping address?,account_inquiry
What's the difference between headphones and headphones?,product_information
I want to return my tablet and get a refund.,refund_request
This is unacceptable. The customer support is terrible.,complaint
This is unacceptable. The service is terrible.,complaint
What's the difference between printer and tablet?,product_information
I'm filing a complaint about packaging.,complaint
How do I check my account settings?,account_inquiry
How do I request a refund for order #26289?,refund_request
I've been waiting over a week for response and still nothing!,complaint
I'd like to cancel my order and receive a full refund.,refund_request
The tablet arrived damaged. I need a refund please.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
Does the laptop come with manual?,product_information
I've been waiting 3 days for replacement and still nothing!,complaint
I'm having trouble connect with my phone.,technical_support
I want to return my headphones and get a refund.,refund_request
The price feature isn't working on my tablet.,technical_support
What are the dimensions of the phone?,product_information
I'm very disappointed with customer support.,complaint
My camera won't install. Can you help?,technical_support
The smartwatch arrived damaged. I need a refund please.,refund_request
This is unacceptable. The delivery time is terrible.,complaint
How do I sync on my printer?,technical_support
I want to return my smartwatch and get a refund.,refund_request
What are the battery life of the smartwatch?,product_information
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
How do I check my account settings?,account_inquiry
Can I update my payment method?,account_inquiry
How do I check my account balance?,account_inquiry
Can you tell me more about the price feature?,product_information
The price feature isn't working on my printer.,technical_support
Can I update my email address?,account_inquiry
How do I request a refund for order #27433?,refund_request
How do I change my account?,account_inquiry
My headphones won't update. Can you help?,technical_support
Can I update my email address?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
How do I request a refund for order #32992?,refund_request
When does my membership renew?,account_inquiry
I've been waiting a month for refund and still nothing!,complaint
My laptop won't update. Can you help?,technical_support
How do I change my account?,account_inquiry
The headphones arrived damaged. I need a refund please.,refund_request
How do I request a refund for order #47942?,refund_request
This is unacceptable. The customer support is terrible.,complaint
How do I change my account?,account_inquiry
This is unacceptable. The product quality is terrible.,complaint
My laptop won't download. Can you help?,technical_support
How do I charge on my laptop?,technical_support
I want to return my printer and get a refund.,refund_request
I'm having trouble turn on with my tablet.,technical_support
I keep getting an error when trying to sync.,technical_support
This is unacceptable. The customer support is terrible.,complaint
The headphones arrived damaged. I need a refund please.,refund_request
When does my plan renew?,account_inquiry
Can I update my preferences?,account_inquiry
I keep getting an error when trying to update.,technical_support
Your product quality is the worst I've experienced.,complaint
Can I update my email address?,account_inquiry
The price feature isn't working on my headphones.,technical_support
My laptop won't update. Can you help?,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
I'm having trouble turn on with my tablet.,technical_support
I'm filing a complaint about packaging.,complaint
Can you tell me more about the dimensions feature?,product_information
When does my membership renew?,account_inquiry
Is the smartwatch compatible with smartwatch?,product_information
What's the difference between phone and smartwatch?,product_information
My headphones won't connect. Can you help?,technical_support
This is unacceptable. The packaging is terrible.,complaint
Can you tell me more about the dimensions feature?,product_information
What are the specifications of the smartwatch?,product_information
I'm filing a complaint about customer support.,complaint
I forgot my password. Can you help me reset it?,account_inquiry
What are the battery life of the camera?,product_information
How do I verify my account?,account_inquiry
I'm having trouble download with my headphones.,technical_support
Is the laptop compatible with phone?,product_information
How do I change my account?,account_inquiry
Is the printer compatible with headphones?,product_information
Can you tell me more about the warranty feature?,product_information
I keep getting an error when trying to install.,technical_support
Is the printer compatible with laptop?,product_information
The battery life feature isn't working on my smartwatch.,technical_support
I'm filing a complaint about packaging.,complaint
What's the difference between phone and headphones?,product_information
Can I update my payment method?,account_inquiry
My headphones won't sync. Can you help?,technical_support
I keep getting an error when trying to update.,technical_support
This is unacceptable. The customer support is terrible.,complaint
I'm having trouble connect with my phone.,technical_support
Can you tell me more about the dimensions feature?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
My laptop won't turn on. Can you help?,technical_support
How do I connect on my headphones?,technical_support
I've been waiting 2 weeks for response and still nothing!,complaint
I'd like to cancel my order and receive a full refund.,refund_request
I've been waiting 2 weeks for response and still nothing!,complaint
How do I request a refund for order #20498?,refund_request
I'm filing a complaint about packaging.,complaint
Is the printer compatible with phone?,product_information
Your packaging is the worst I've experienced.,complaint
Your packaging is the worst I've experienced.,complaint
How do I request a refund for order #79774?,refund_request
Can I update my preferences?,account_inquiry
I've been waiting over a week for replacement and still nothing!,complaint
The camera quality feature isn't working on my laptop.,technical_support
Can you tell me more about the battery life feature?,product_information
I've been waiting too long for refund and still nothing!,complaint
When does my service renew?,account_inquiry
When does my plan renew?,account_inquiry
How do I request a refund for order #30759?,refund_request
Can I update my email address?,account_inquiry
I'm filing a complaint about customer support.,complaint
I'm filing a complaint about customer support.,complaint
The warranty feature isn't working on my phone.,technical_support
I'm having trouble install with my phone.,technical_support
How do I request a refund for order #69744?,refund_request
Does the headphones come with case?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
What are the dimensions of the tablet?,product_information
What are the camera quality of the laptop?,product_information
I'm filing a complaint about service.,complaint
When does my subscription renew?,account_inquiry
I'm very disappointed with product quality.,complaint
How do I request a refund for order #24178?,refund_request
How do I check my account balance?,account_inquiry
I want to return my tablet and get a refund.,refund_request
I'm very disappointed with product quality.,complaint
This is unacceptable. The customer support is terrible.,complaint
What's the difference between tablet and phone?,product_information
The laptop arrived damaged. I need a refund please.,refund_request
I'm very disappointed with service.,complaint
How do I check my account settings?,account_inquiry
How do I check my account history?,account_inquiry
I'm filing a complaint about product quality.,complaint
What are the price of the headphones?,product_information
I'm having trouble connect with my smartwatch.,technical_support
How do I request a refund for order #13780?,refund_request
When does my service renew?,account_inquiry
Can I get my money back for headphones? It doesn't work properly.,refund_request
The camera arrived damaged. I need a refund please.,refund_request
How do I request a refund for order #12359?,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
I keep getting an error when trying to download.,technical_support
I keep getting an error when trying to connect.,technical_support
I've been waiting 3 days for response and still nothing!,complaint
How do I check my account settings?,account_inquiry
How do I request a refund for order #65061?,refund_request
What's the difference between laptop and printer?,product_information
The specifications feature isn't working on my smartwatch.,technical_support
Does the smartwatch come with manual?,product_information
How do I verify my account?,account_inquiry
I've been waiting too long for response and still nothing!,complaint
Can I update my payment method?,account_inquiry
How do I request a refund for order #33781?,refund_request
How do I update my account?,account_inquiry
Your customer support is the worst I've experienced.,complaint
Can I update my shipping address?,account_inquiry
I'm filing a complaint about product quality.,complaint
My tablet won't connect. Can you help?,technical_support
I've been waiting over a week for response and still nothing!,complaint
Can I get my money back for camera? It doesn't work properly.,refund_request
How do I request a refund for order #75878?,refund_request
How do I charge on my printer?,technical_support
My tablet won't turn on. Can you help?,technical_support
What are the warranty of the camera?,product_information
I'm having trouble connect with my printer.,technical_support
Your packaging is the worst I've experienced.,complaint
The printer arrived damaged. I need a refund please.,refund_request
How do I change my account?,account_inquiry
Does the printer come with warranty?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
Can I get my money back for camera? It doesn't work properly.,refund_request
Can I get my money back for camera? It doesn't work properly.,refund_request
I've been waiting a month for response and still nothing!,complaint
I'd like to cancel my order and receive a full refund.,refund_request
I'm having trouble install with my phone.,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
How do I request a refund for order #77369?,refund_request
Is the camera compatible with camera?,product_information
How do I connect on my smartwatch?,technical_support
How do I install on my headphones?,technical_support
This is unacceptable. The delivery time is terrible.,complaint
Can I update my shipping address?,account_inquiry
I'm having trouble turn on with my printer.,technical_support
The camera arrived damaged. I need a refund please.,refund_request
This is unacceptable. The packaging is terrible.,complaint
This is unacceptable. The service is terrible.,complaint
I'm having trouble connect with my phone.,technical_support
Your packaging is the worst I've experienced.,complaint
What are the price of the camera?,product_information
Is the headphones compatible with headphones?,product_information
Your customer support is the worst I've experienced.,complaint
This is unacceptable. The delivery time is terrible.,complaint
Can you tell me more about the specifications feature?,product_information
How do I update my account?,account_inquiry
My printer won't turn on. Can you help?,technical_support
This is unacceptable. The packaging is terrible.,complaint
How do I check my account settings?,account_inquiry
The camera quality feature isn't working on my tablet.,technical_support
Can I update my email address?,account_inquiry
Your delivery time is the worst I've experienced.,complaint
I forgot my password. Can you help me reset it?,account_inquiry
How do I delete my account?,account_inquiry
Can I update my email address?,account_inquiry
How do I request a refund for order #53295?,refund_request
How do I download on my smartwatch?,technical_support
Does the camera come with warranty?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
What are the price of the tablet?,product_information
I want to return my phone and get a refund.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
Can I update my preferences?,account_inquiry
My laptop won't install. Can you help?,technical_support
Can I update my preferences?,account_inquiry
I'm very disappointed with delivery time.,complaint
I'm having trouble charge with my camera.,technical_support
How do I check my account status?,account_inquiry
The printer arrived damaged. I need a refund please.,refund_request
What are the battery life of the headphones?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
The camera arrived damaged. I need a refund please.,refund_request
I'm very disappointed with delivery time.,complaint
Can I update my payment method?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
When does my subscription renew?,account_inquiry
How do I check my account history?,account_inquiry
Is the tablet compatible with tablet?,product_information
When does my membership renew?,account_inquiry
How do I request a refund for order #15169?,refund_request
Is the printer compatible with tablet?,product_information
This is unacceptable. The delivery time is terrible.,complaint
I'm filing a complaint about delivery time.,complaint
The warranty feature isn't working on my smartwatch.,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
Your packaging is the worst I've experienced.,complaint
Can I update my preferences?,account_inquiry
I want to return my camera and get a refund.,refund_request
I've been waiting a month for response and still nothing!,complaint
I'm having trouble update with my smartwatch.,technical_support
I'm having trouble update with my tablet.,technical_support
I want to return my smartwatch and get a refund.,refund_request
This is unacceptable. The customer support is terrible.,complaint
I want to return my camera and get a refund.,refund_request
How do I delete my account?,account_inquiry
How do I update my account?,account_inquiry
Is the headphones compatible with camera?,product_information
How do I verify my account?,account_inquiry
The laptop arrived damaged. I need a refund please.,refund_request
Your delivery time is the worst I've experienced.,complaint
What are the dimensions of the tablet?,product_information
Is the laptop compatible with tablet?,product_information
Can you tell me more about the warranty feature?,product_information
I want to return my printer and get a refund.,refund_request
My phone won't connect. Can you help?,technical_support
Is the printer compatible with laptop?,product_information
This is unacceptable. The packaging is terrible.,complaint
Is the camera compatible with phone?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
I'm having trouble install with my phone.,technical_support
The camera quality feature isn't working on my laptop.,technical_support
I want to return my tablet and get a refund.,refund_request
I keep getting an error when trying to download.,technical_support
Can I get my money back for tablet? It doesn't work properly.,refund_request
I keep getting an error when trying to download.,technical_support
I want to return my tablet and get a refund.,refund_request
What's the difference between phone and camera?,product_information
I'm very disappointed with customer support.,complaint
Your delivery time is the worst I've experienced.,complaint
How do I request a refund for order #44824?,refund_request
The dimensions feature isn't working on my camera.,technical_support
I've been waiting a month for refund and still nothing!,complaint
Your service is the worst I've experienced.,complaint
How do I charge on my tablet?,technical_support
How do I check my account balance?,account_inquiry
Your delivery time is the worst I've experienced.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
My phone won't connect. Can you help?,technical_support
When does my subscription renew?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
How do I verify my account?,account_inquiry
When does my plan renew?,account_inquiry
How do I update on my laptop?,technical_support
I've been waiting a month for refund and still nothing!,complaint
How do I request a refund for order #24541?,refund_request
I'm having trouble download with my laptop.,technical_support
Can I get my money back for phone? It doesn't work properly.,refund_request
How do I verify my account?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
I'm having trouble turn on with my laptop.,technical_support
Can you tell me more about the specifications feature?,product_information
How do I check my account balance?,account_inquiry
How do I check my account settings?,account_inquiry
Is the tablet compatible with laptop?,product_information
Can I get my money back for tablet? It doesn't work properly.,refund_request
How do I charge on my laptop?,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
I've been waiting 2 weeks for order and still nothing!,complaint
What are the specifications of the phone?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
What are the dimensions of the phone?,product_information
What are the warranty of the camera?,product_information
How do I change my account?,account_inquiry
Your packaging is the worst I've experienced.,complaint
I keep getting an error when trying to download.,technical_support
This is unacceptable. The service is terrible.,complaint
Can I get my money back for tablet? It doesn't work properly.,refund_request
The laptop arrived damaged. I need a refund please.,refund_request
Is the phone compatible with tablet?,product_information
Your delivery time is the worst I've experienced.,complaint
Does the printer come with cables?,product_information
When does my plan renew?,account_inquiry
What are the price of the camera?,product_information
How do I check my account status?,account_inquiry
Your service is the worst I've experienced.,complaint
This is unacceptable. The customer support is terrible.,complaint
Is the laptop compatible with headphones?,product_information
What are the price of the phone?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
Can you tell me more about the specifications feature?,product_information
I'm very disappointed with customer support.,complaint
How do I change my account?,account_inquiry
This is unacceptable. The delivery time is terrible.,complaint
Is the headphones compatible with smartwatch?,product_information
Can I update my email address?,account_inquiry
I'm very disappointed with delivery time.,complaint
I keep getting an error when trying to charge.,technical_support
Can I get my money back for headphones? It doesn't work properly.,refund_request
I keep getting an error when trying to turn on.,technical_support
I'm filing a complaint about delivery time.,complaint
This is unacceptable. The delivery time is terrible.,complaint
How do I update my account?,account_inquiry
I keep getting an error when trying to connect.,technical_support
Is the phone compatible with phone?,product_information
I've been waiting a month for refund and still nothing!,complaint
The smartwatch arrived damaged. I need a refund please.,refund_request
I'm having trouble connect with my headphones.,technical_support
I've been waiting 2 weeks for replacement and still nothing!,complaint
I keep getting an error when trying to connect.,technical_support
Can I update my email address?,account_inquiry
What's the difference between smartwatch and phone?,product_information
Can I get my money back for headphones? It doesn't work properly.,refund_request
This is unacceptable. The service is terrible.,complaint
What's the difference between headphones and tablet?,product_information
What's the difference between tablet and tablet?,product_information
The specifications feature isn't working on my tablet.,technical_support
Can I get my money back for tablet? It doesn't work properly.,refund_request
The printer arrived damaged. I need a refund please.,refund_request
What are the specifications of the tablet?,product_information
How do I install on my phone?,technical_support
Is the smartwatch compatible with smartwatch?,product_information
I'm filing a complaint about product quality.,complaint
How do I request a refund for order #65527?,refund_request
My laptop won't charge. Can you help?,technical_support
The phone arrived damaged. I need a refund please.,refund_request
What are the camera quality of the phone?,product_information
Is the phone compatible with phone?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
How do I request a refund for order #33903?,refund_request
Is the smartwatch compatible with tablet?,product_information
Your packaging is the worst I've experienced.,complaint
Can I update my payment method?,account_inquiry
How do I install on my printer?,technical_support
I'm having trouble sync with my phone.,technical_support
The price feature isn't working on my phone.,technical_support
How do I request a refund for order #17294?,refund_request
Your product quality is the worst I've experienced.,complaint
My camera won't download. Can you help?,technical_support
Your service is the worst I've experienced.,complaint
Is the printer compatible with printer?,product_information
This is unacceptable. The product quality is terrible.,complaint
The dimensions feature isn't working on my camera.,technical_support
Can you tell me more about the camera quality feature?,product_information
What's the difference between phone and phone?,product_information
Can you tell me more about the price feature?,product_information
Does the phone come with charger?,product_information
I keep getting an error when trying to install.,technical_support
I keep getting an error when trying to download.,technical_support
I've been waiting 2 weeks for order and still nothing!,complaint
What's the difference between camera and laptop?,product_information
I'm having trouble download with my tablet.,technical_support
The printer arrived damaged. I need a refund please.,refund_request
This is unacceptable. The customer support is terrible.,complaint
What are the camera quality of the laptop?,product_information
Does the phone come with charger?,product_information
The laptop arrived damaged. I need a refund please.,refund_request
This is unacceptable. The product quality is terrible.,complaint
When does my subscription renew?,account_inquiry
I'm very disappointed with packaging.,complaint
I'm having trouble turn on with my tablet.,technical_support
My smartwatch won't turn on. Can you help?,technical_support
This is unacceptable. The customer support is terrible.,complaint
How do I request a refund for order #67086?,refund_request
Can you tell me more about the price feature?,product_information
Your customer support is the worst I've experienced.,complaint
I'm very disappointed with delivery time.,complaint
I forgot my password. Can you help me reset it?,account_inquiry
Does the tablet come with warranty?,product_information
Can you tell me more about the specifications feature?,product_information
What's the difference between tablet and camera?,product_information
I'm filing a complaint about packaging.,complaint
The specifications feature isn't working on my printer.,technical_support
Can I get my money back for smartwatch? It doesn't work properly.,refund_request
How do I request a refund for order #22415?,refund_request
This is unacceptable. The packaging is terrible.,complaint
What are the price of the laptop?,product_information
How do I install on my smartwatch?,technical_support
I'm having trouble charge with my camera.,technical_support
Is the headphones compatible with smartwatch?,product_information
Can I update my shipping address?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
Can I update my email address?,account_inquiry
Can I update my preferences?,account_inquiry
I've been waiting 2 weeks for refund and still nothing!,complaint
Can I update my payment method?,account_inquiry
The warranty feature isn't working on my camera.,technical_support
Can you tell me more about the warranty feature?,product_information
How do I update my account?,account_inquiry
I keep getting an error when trying to charge.,technical_support
How do I download on my smartwatch?,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
Can I get my money back for laptop? It doesn't work properly.,refund_request
I'm having trouble sync with my printer.,technical_support
When does my service renew?,account_inquiry
How do I connect on my laptop?,technical_support
Does the printer come with cables?,product_information
What are the camera quality of the camera?,product_information
The phone arrived damaged. I need a refund please.,refund_request
Can I update my payment method?,account_inquiry
How do I check my account settings?,account_inquiry
The laptop arrived damaged. I need a refund please.,refund_request
Can I update my email address?,account_inquiry
I'm very disappointed with delivery time.,complaint
What are the specifications of the camera?,product_information
The dimensions feature isn't working on my tablet.,technical_support
My headphones won't turn on. Can you help?,technical_support
How do I change my account?,account_inquiry
Can I update my payment method?,account_inquiry
Your service is the worst I've experienced.,complaint
What are the camera quality of the printer?,product_information
I'm very disappointed with delivery time.,complaint
What's the difference between tablet and tablet?,product_information
When does my service renew?,account_inquiry
When does my service renew?,account_inquiry
How do I charge on my headphones?,technical_support
What are the camera quality of the camera?,product_information
Your packaging is the worst I've experienced.,complaint
Can I update my email address?,account_inquiry
